     Test Category;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Elapsed (sec)
     azul-prime-vm;               3;                   2334.050;                936.750;        946.282
     azul-prime-vm;               2;                   2292.450;                941.040;        946.326
     azul-prime-vm;               1;                   2270.610;                940.360;        947.322
 eclipse-openj9-vm;               1;                   1609.860;                659.030;        954.344
 eclipse-openj9-vm;               2;                   1564.000;                649.200;        951.243
 eclipse-openj9-vm;               3;                   1597.880;                657.310;        954.031
        graalvm-ce;               2;                   1387.640;                623.900;        929.215
        graalvm-ce;               1;                   1374.730;                621.680;        929.611
        graalvm-ce;               3;                   1387.080;                624.210;        929.542
        graalvm-ee;               3;                   1311.370;                636.520;        929.045
        graalvm-ee;               2;                   1311.040;                632.210;        929.131
        graalvm-ee;               1;                   1334.220;                635.870;        929.795
      native-image;               2;                   1332.160;                571.230;        901.407
      native-image;               3;                   1332.420;                572.400;        901.432
      native-image;               1;                   1330.560;                569.070;        901.422
openjdk-hotspot-vm;               2;                   1422.170;                627.940;        933.376
openjdk-hotspot-vm;               3;                   1409.290;                631.020;        933.438
openjdk-hotspot-vm;               1;                   1424.210;                629.810;        933.076
