Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,5,3,12,18,28,0,79,"0,00%","15,6","47,0","5,86"
Vets Page,25000,4,4,9,11,21,1,353,"0,00%","15,6","62,5","4,86"
CSS,25000,41,18,112,123,146,6,180,"0,00%","15,6","3169,8","41,75"
JS,25000,10,6,29,35,46,2,69,"0,00%","15,6","1229,6","10,45"
POST New Owner,25000,110,9,471,846,1294,3,1689,"0,00%","15,6","57,8","283,62"
POST New Owner-0,25000,102,5,451,814,1256,1,1658,"0,00%","15,6","2,9","273,78"
POST New Owner-1,25000,8,3,14,22,96,1,1251,"0,00%","15,6","54,8","27,66"
GET Owner,25000,7,4,8,11,34,1,1562,"0,00%","15,6","54,9","40,03"
GET Find Owner,25000,4,3,7,9,17,1,56,"0,00%","15,6","55,4","3,04"
"GET Find Owner with lastname=""""",25000,517,381,1221,1452,1793,7,2151,"0,00%","15,6","2638,2","471,82"
POST Update Owner,25000,172,12,642,887,1252,3,1648,"0,00%","15,6","58,0","301,30"
POST Update Owner-0,25000,160,7,619,850,1213,1,1629,"0,00%","15,6","2,9","290,91"
POST Update Owner-1,25000,11,4,22,28,165,1,1474,"0,00%","15,6","55,0","34,00"
POST New Pet,25000,22,9,22,29,569,3,1207,"0,00%","15,6","69,0","95,94"
POST New Pet-0,25000,13,4,10,15,409,1,1179,"0,00%","15,6","2,9","74,90"
POST New Pet-1,25000,8,4,12,16,50,1,1083,"0,00%","15,6","66,1","34,90"
GET New Pet,25000,22,7,16,23,754,2,1158,"0,00%","15,6","74,9","106,90"
TOTAL,425000,72,6,122,553,1193,0,2151,"0,00%","264,6","7688,4","223,33"
